participant_id	iri_q1	iri_q2	iri_q3	iri_q4	iri_q5	iri_q6	iri_q7	iri_q8	iri_q9	iri_q10	iri_q11	iri_q12	iri_q13	iri_q14	iri_q15	iri_q16	iri_q17	iri_q18	iri_q19	iri_q20	iri_q21	iri_q22	iri_q23	iri_q24	iri_q25	iri_q26	iri_q27	iri_q28
sub-1001	3.0	4.0	1.0	2.0	4.0	2.0	0.0	3.0	4.0	4.0	4.0	0.0	1.0	1.0	3.0	4.0	4.0	0.0	1.0	3.0	2.0	4.0	1.0	2.0	3.0	1.0	2.0	3.0
sub-1002	4.0	2.0	1.0	2.0	2.0	2.0	1.0	2.0	3.0	3.0	2.0	0.0	1.0	2.0	1.0	2.0	3.0	1.0	2.0	1.0	4.0	2.0	3.0	1.0	2.0	4.0	1.0	2.0
sub-1003	4.0	4.0	2.0	0.0	4.0	2.0	0.0	2.0	4.0	4.0	4.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	2.0	4.0	2.0	4.0	2.0	1.0	1.0	4.0	2.0	2.0
sub-1004	3.0	3.0	0.0	0.0	3.0	3.0	4.0	4.0	2.0	4.0	4.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	3.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0
sub-1006	4.0	3.0	1.0	2.0	1.0	3.0	2.0	3.0	3.0	4.0	3.0	3.0	2.0	3.0	1.0	1.0	3.0	1.0	1.0	3.0	4.0	3.0	3.0	2.0	3.0	3.0	1.0	3.0
sub-1007	3.0	3.0	1.0	2.0	3.0	2.0	1.0	3.0	3.0	3.0	2.0	2.0	3.0	1.0	3.0	1.0	3.0	1.0	2.0	2.0	2.0	3.0	2.0	1.0	2.0	1.0	2.0	2.0
sub-1009	3.0	3.0	1.0	1.0	2.0	1.0	1.0	3.0	3.0	3.0	4.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	3.0	4.0	3.0	4.0	2.0	1.0	3.0	3.0	1.0	3.0
sub-1010	4.0	0.0	2.0	1.0	0.0	1.0	3.0	4.0	1.0	4.0	2.0	1.0	4.0	2.0	4.0	0.0	4.0	3.0	4.0	1.0	3.0	0.0	1.0	0.0	2.0	0.0	1.0	3.0
sub-1011	2.0	3.0	1.0	3.0	4.0	4.0	1.0	4.0	1.0	3.0	2.0	0.0	3.0	4.0	2.0	4.0	4.0	2.0	1.0	4.0	4.0	4.0	2.0	1.0	0.0	4.0	0.0	4.0
sub-1012	3.0	4.0	1.0	0.0	3.0	2.0	1.0	3.0	3.0	2.0	4.0	0.0	3.0	0.0	0.0	1.0	2.0	0.0	3.0	3.0	4.0	4.0	3.0	1.0	3.0	3.0	1.0	3.0
sub-1013	2.0	2.0	1.0	3.0	1.0	3.0	1.0	3.0	2.0	3.0	2.0	2.0	1.0	3.0	3.0	1.0	3.0	3.0	3.0	1.0	4.0	2.0	1.0	1.0	3.0	1.0	1.0	2.0
sub-1015	3.0	4.0	0.0	1.0	3.0	1.0	1.0	4.0	4.0	1.0	4.0	0.0	3.0	1.0	2.0	3.0	1.0	0.0	3.0	3.0	4.0	3.0	3.0	0.0	3.0	3.0	0.0	3.0
sub-1016	0.0	3.0	1.0	3.0	2.0	2.0	3.0	3.0	3.0	3.0	3.0	1.0	3.0	3.0	3.0	1.0	2.0	1.0	3.0	2.0	4.0	2.0	0.0	2.0	1.0	0.0	0.0	3.0
sub-1019	2.0	3.0	1.0	2.0	4.0	1.0	1.0	2.0	4.0	2.0	3.0	0.0	1.0	0.0	2.0	3.0	2.0	0.0	3.0	3.0	2.0	3.0	2.0	0.0	2.0	3.0	1.0	2.0
sub-1021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	3.0	3.0	3.0	1.0	3.0	3.0	0.0	3.0	0.0	2.0	0.0	3.0	3.0	0.0	0.0	3.0	0.0	0.0	3.0
sub-1240	4.0	3.0	2.0	0.0	1.0	2.0	3.0	2.0	1.0	3.0	3.0	2.0	2.0	1.0	3.0	1.0	1.0	2.0	0.0	2.0	2.0	3.0	1.0	1.0	2.0	1.0	0.0	3.0
sub-1242	3.0	4.0	2.0	1.0	0.0	3.0	2.0	3.0	3.0	4.0	3.0	4.0	0.0	0.0	3.0	0.0	3.0	1.0	2.0	3.0	3.0	3.0	0.0	0.0	1.0	0.0	1.0	2.0
sub-1243	2.0	2.0	3.0	1.0	3.0	3.0	1.0	3.0	3.0	2.0	2.0	1.0	1.0	1.0	2.0	2.0	3.0	0.0	2.0	2.0	3.0	3.0	3.0	1.0	2.0	3.0	2.0	2.0
sub-1244	2.0	4.0	0.0	0.0	1.0	1.0	1.0	3.0	4.0	1.0	3.0	1.0	2.0	1.0	1.0	0.0	0.0	0.0	4.0	3.0	3.0	2.0	2.0	0.0	2.0	1.0	0.0	1.0
sub-1245	3.0	3.0	3.0	3.0	3.0	1.0	1.0	2.0	3.0	3.0	3.0	0.0	2.0	1.0	1.0	3.0	3.0	1.0	3.0	3.0	2.0	2.0	3.0	0.0	1.0	1.0	1.0	3.0
sub-1247	3.0	2.0	0.0	1.0	3.0	4.0	0.0	4.0	4.0	1.0	3.0	0.0	3.0	0.0	0.0	2.0	1.0	0.0	3.0	2.0	3.0	2.0	4.0	1.0	2.0	3.0	1.0	3.0
sub-1248	4.0	1.0	4.0	3.0	3.0	1.0	1.0	4.0	4.0	4.0	3.0	0.0	1.0	3.0	2.0	4.0	4.0	1.0	2.0	1.0	3.0	2.0	4.0	1.0	1.0	4.0	1.0	3.0
sub-1249	2.0	3.0	1.0	1.0	1.0	1.0	2.0	2.0	3.0	3.0	3.0	2.0	3.0	1.0	2.0	1.0	1.0	0.0	3.0	2.0	1.0	3.0	2.0	1.0	2.0	3.0	1.0	3.0
sub-1251	0.0	3.0	1.0	1.0	1.0	1.0	3.0	3.0	2.0	1.0	3.0	2.0	4.0	1.0	0.0	2.0	1.0	2.0	4.0	1.0	4.0	2.0	3.0	0.0	3.0	3.0	0.0	3.0
sub-1253	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-1255	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-1276	4.0	1.0	4.0	4.0	1.0	0.0	2.0	3.0	2.0	3.0	1.0	2.0	4.0	4.0	4.0	1.0	3.0	1.0	4.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
sub-1282	4.0	3.0	0.0	0.0	4.0	4.0	0.0	3.0	4.0	2.0	4.0	0.0	3.0	0.0	1.0	0.0	1.0	1.0	4.0	4.0	4.0	4.0	3.0	0.0	3.0	3.0	0.0	2.0
sub-1286	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-1294	3.0	4.0	0.0	0.0	2.0	2.0	3.0	4.0	3.0	1.0	4.0	1.0	3.0	0.0	1.0	0.0	2.0	0.0	3.0	4.0	4.0	4.0	3.0	1.0	4.0	4.0	1.0	4.0
sub-1300	2.0	1.0	0.0	0.0	2.0	2.0	2.0	4.0	4.0	2.0	3.0	4.0	2.0	2.0	2.0	2.0	1.0	2.0	3.0	3.0	4.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0
sub-1301	3.0	1.0	0.0	0.0	3.0	1.0	0.0	3.0	3.0	1.0	3.0	0.0	2.0	1.0	2.0	1.0	1.0	0.0	3.0	2.0	3.0	4.0	2.0	1.0	3.0	3.0	0.0	2.0
sub-1302	3.0	1.0	2.0	1.0	2.0	1.0	1.0	1.0	1.0	3.0	3.0	1.0	2.0	3.0	3.0	3.0	1.0	3.0	3.0	2.0	1.0	1.0	3.0	1.0	1.0	3.0	1.0	3.0
sub-1303	3.0	2.0	1.0	1.0	2.0	4.0	2.0	3.0	3.0	4.0	3.0	1.0	1.0	1.0	2.0	3.0	4.0	0.0	1.0	2.0	3.0	3.0	2.0	1.0	3.0	3.0	1.0	3.0
sub-3101	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-3116	3.0	3.0	1.0	2.0	4.0	2.0	1.0	4.0	3.0	2.0	4.0	1.0	2.0	1.0	2.0	3.0	3.0	0.0	1.0	3.0	4.0	4.0	4.0	2.0	3.0	4.0	2.0	3.0
sub-3122	4.0	4.0	0.0	1.0	4.0	2.0	0.0	0.0	4.0	4.0	4.0	0.0	2.0	0.0	0.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	3.0	0.0	1.0	4.0	1.0	4.0
sub-3125	4.0	2.0	2.0	3.0	4.0	4.0	0.0	2.0	1.0	3.0	2.0	0.0	0.0	1.0	2.0	4.0	3.0	1.0	1.0	4.0	1.0	3.0	4.0	4.0	1.0	4.0	2.0	2.0
sub-3140	4.0	4.0	2.0	4.0	3.0	1.0	0.0	3.0	3.0	4.0	3.0	0.0	1.0	0.0	1.0	4.0	3.0	4.0	3.0	4.0	2.0	3.0	3.0	0.0	3.0	4.0	4.0	2.0
sub-3143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	4.0	0.0	4.0	2.0	2.0	1.0	0.0	0.0	1.0	0.0	2.0	2.0	2.0	4.0	0.0	0.0	4.0	2.0	2.0	4.0
sub-3152	3.0	4.0	2.0	2.0	1.0	4.0	2.0	2.0	3.0	2.0	2.0	2.0	3.0	0.0	3.0	2.0	3.0	1.0	4.0	3.0	1.0	4.0	2.0	1.0	1.0	2.0	0.0	1.0
sub-3164	4.0	4.0	3.0	0.0	4.0	3.0	0.0	1.0	4.0	1.0	3.0	2.0	0.0	0.0	3.0	3.0	1.0	0.0	3.0	4.0	3.0	3.0	4.0	1.0	3.0	4.0	3.0	1.0
sub-3166	3.0	0.0	3.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	1.0	1.0	2.0	3.0	0.0	0.0	3.0	1.0	1.0
sub-3167	3.0	3.0	2.0	3.0	3.0	2.0	3.0	3.0	3.0	1.0	3.0	0.0	3.0	3.0	1.0	3.0	2.0	1.0	3.0	2.0	3.0	3.0	3.0	0.0	2.0	3.0	1.0	3.0
sub-3170	4.0	4.0	0.0	0.0	3.0	3.0	0.0	2.0	3.0	3.0	3.0	1.0	2.0	1.0	3.0	3.0	3.0	0.0	1.0	3.0	3.0	3.0	2.0	2.0	3.0	3.0	2.0	3.0
sub-3173	4.0	3.0	1.0	3.0	2.0	3.0	0.0	3.0	3.0	1.0	3.0	0.0	0.0	2.0	3.0	2.0	1.0	0.0	3.0	3.0	4.0	1.0	3.0	1.0	1.0	3.0	3.0	3.0
sub-3175	3.0	3.0	1.0	3.0	1.0	2.0	4.0	3.0	3.0	1.0	3.0	3.0	4.0	3.0	1.0	0.0	1.0	3.0	3.0	1.0	3.0	1.0	1.0	1.0	2.0	1.0	1.0	3.0
sub-3176	1.0	2.0	0.0	0.0	3.0	1.0	1.0	4.0	3.0	1.0	4.0	0.0	2.0	0.0	0.0	1.0	2.0	0.0	3.0	2.0	4.0	4.0	1.0	0.0	4.0	3.0	0.0	4.0
sub-3186	3.0	3.0	2.0	3.0	3.0	3.0	0.0	2.0	3.0	4.0	2.0	1.0	1.0	1.0	3.0	3.0	3.0	0.0	3.0	4.0	2.0	4.0	3.0	4.0	1.0	3.0	3.0	1.0
sub-3189	3.0	3.0	1.0	1.0	3.0	2.0	1.0	4.0	4.0	2.0	3.0	0.0	3.0	1.0	1.0	1.0	1.0	0.0	2.0	2.0	2.0	4.0	2.0	1.0	2.0	2.0	2.0	1.0
sub-3190	4.0	3.0	0.0	1.0	0.0	0.0	1.0	4.0	3.0	4.0	3.0	1.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	4.0	4.0	3.0	2.0	1.0	3.0	4.0
sub-3199	2.0	1.0	0.0	1.0	1.0	2.0	1.0	3.0	3.0	2.0	3.0	2.0	3.0	1.0	3.0	3.0	3.0	3.0	1.0	2.0	3.0	4.0	3.0	4.0	3.0	0.0	2.0	3.0
sub-3200	3.0	2.0	1.0	3.0	1.0	3.0	4.0	3.0	2.0	4.0	3.0	2.0	0.0	2.0	2.0	3.0	2.0	1.0	1.0	0.0	2.0	3.0	2.0	0.0	2.0	4.0	1.0	3.0
sub-3206	2.0	4.0	2.0	1.0	0.0	1.0	1.0	3.0	4.0	2.0	2.0	3.0	3.0	1.0	4.0	0.0	3.0	0.0	3.0	3.0	2.0	3.0	2.0	1.0	3.0	3.0	0.0	2.0
sub-3210	1.0	0.0	0.0	3.0	1.0	2.0	1.0	4.0	4.0	3.0	4.0	1.0	3.0	3.0	3.0	0.0	0.0	3.0	4.0	1.0	3.0	1.0	2.0	2.0	3.0	3.0	0.0	1.0
sub-3212	2.0	4.0	0.0	0.0	4.0	3.0	0.0	4.0	3.0	2.0	4.0	1.0	1.0	1.0	1.0	3.0	1.0	0.0	2.0	3.0	3.0	3.0	3.0	1.0	3.0	3.0	2.0	3.0
sub-3218	4.0	4.0	0.0	2.0	2.0	1.0	1.0	3.0	4.0	4.0	4.0	1.0	1.0	2.0	0.0	3.0	4.0	1.0	1.0	3.0	4.0	3.0	1.0	2.0	4.0	2.0	1.0	1.0
sub-3220	3.0	4.0	1.0	0.0	2.0	2.0	2.0	3.0	4.0	3.0	4.0	3.0	3.0	1.0	2.0	1.0	1.0	0.0	3.0	2.0	3.0	4.0	3.0	1.0	3.0	4.0	1.0	4.0
sub-3223	4.0	3.0	0.0	4.0	3.0	3.0	1.0	3.0	3.0	3.0	4.0	0.0	3.0	1.0	3.0	4.0	2.0	0.0	3.0	3.0	3.0	3.0	4.0	1.0	3.0	3.0	2.0	3.0
