participant_id	tei_q1	tei_q2	tei_q3	tei_q4	tei_q5	tei_q6	tei_q7	tei_q8	tei_q9	tei_q10	tei_q11	tei_q12	tei_q13	tei_q14	tei_q15	tei_q16	tei_q17	tei_q18	tei_q19	tei_q20	tei_q21	tei_q22	tei_q23	tei_q24	tei_q25	tei_q26	tei_q27	tei_q28	tei_q29	tei_q30
sub-1001	2.0	2.0	3.0	5.0	7.0	5.0	5.0	6.0	6.0	2.0	1.0	7.0	2.0	5.0	2.0	1.0	5.0	3.0	1.0	2.0	2.0	6.0	6.0	4.0	6.0	6.0	2.0	5.0	6.0	2.0
sub-1002	1.0	4.0	5.0	3.0	2.0	2.0	5.0	4.0	4.0	7.0	3.0	5.0	4.0	3.0	5.0	6.0	4.0	3.0	2.0	4.0	4.0	5.0	6.0	4.0	5.0	5.0	5.0	5.0	6.0	4.0
sub-1003	1.0	3.0	6.0	6.0	2.0	5.0	4.0	2.0	4.0	1.0	6.0	2.0	1.0	1.0	4.0	2.0	2.0	4.0	4.0	4.0	5.0	2.0	6.0	3.0	1.0	1.0	4.0	2.0	3.0	4.0
sub-1004	7.0	1.0	7.0	3.0	1.0	6.0	2.0	2.0	7.0	1.0	7.0	1.0	1.0	1.0	6.0	1.0	4.0	2.0	7.0	7.0	6.0	2.0	6.0	7.0	2.0	1.0	7.0	2.0	6.0	6.0
sub-1006	5.0	3.0	5.0	2.0	1.0	5.0	6.0	3.0	5.0	5.0	4.0	2.0	1.0	3.0	7.0	6.0	5.0	5.0	5.0	6.0	3.0	2.0	6.0	5.0	5.0	5.0	7.0	5.0	6.0	7.0
sub-1007	3.0	3.0	5.0	4.0	3.0	5.0	5.0	5.0	5.0	4.0	5.0	2.0	4.0	3.0	5.0	5.0	5.0	3.0	5.0	6.0	5.0	4.0	5.0	6.0	5.0	5.0	6.0	4.0	5.0	5.0
sub-1009	5.0	2.0	6.0	2.0	1.0	6.0	3.0	2.0	6.0	3.0	4.0	1.0	1.0	2.0	6.0	1.0	6.0	2.0	6.0	7.0	5.0	5.0	6.0	7.0	4.0	3.0	7.0	1.0	5.0	5.0
sub-1010	1.0	4.0	5.0	7.0	5.0	3.0	6.0	7.0	4.0	7.0	3.0	7.0	1.0	1.0	6.0	7.0	2.0	6.0	1.0	5.0	7.0	6.0	1.0	3.0	6.0	5.0	2.0	4.0	6.0	5.0
sub-1011	7.0	1.0	5.0	5.0	1.0	4.0	5.0	3.0	7.0	5.0	3.0	1.0	1.0	5.0	6.0	7.0	7.0	3.0	3.0	5.0	4.0	5.0	3.0	7.0	5.0	3.0	7.0	6.0	5.0	4.0
sub-1012	7.0	2.0	7.0	2.0	1.0	7.0	2.0	2.0	7.0	2.0	5.0	1.0	1.0	2.0	6.0	1.0	7.0	1.0	7.0	7.0	5.0	1.0	6.0	7.0	7.0	3.0	7.0	1.0	7.0	6.0
sub-1013	6.0	2.0	6.0	2.0	1.0	5.0	5.0	2.0	6.0	5.0	5.0	2.0	2.0	3.0	5.0	2.0	5.0	2.0	5.0	7.0	3.0	4.0	6.0	6.0	4.0	3.0	6.0	2.0	4.0	3.0
sub-1015	5.0	2.0	5.0	4.0	3.0	4.0	4.0	4.0	5.0	4.0	4.0	2.0	4.0	3.0	5.0	4.0	5.0	3.0	4.0	5.0	5.0	4.0	4.0	5.0	2.0	3.0	6.0	4.0	5.0	4.0
sub-1016	2.0	4.0	5.0	4.0	1.0	4.0	5.0	4.0	4.0	3.0	4.0	1.0	1.0	4.0	4.0	6.0	3.0	4.0	4.0	4.0	4.0	5.0	5.0	4.0	3.0	4.0	4.0	4.0	4.0	4.0
sub-1019	3.0	2.0	5.0	3.0	2.0	7.0	5.0	6.0	5.0	1.0	4.0	2.0	1.0	2.0	5.0	5.0	5.0	3.0	6.0	5.0	5.0	3.0	6.0	5.0	1.0	3.0	5.0	2.0	5.0	5.0
sub-1021	7.0	2.0	7.0	2.0	5.0	2.0	2.0	3.0	7.0	2.0	7.0	7.0	2.0	3.0	6.0	3.0	6.0	6.0	7.0	4.0	7.0	6.0	3.0	6.0	5.0	3.0	6.0	2.0	6.0	2.0
sub-1240	3.0	4.0	7.0	3.0	4.0	5.0	5.0	4.0	6.0	4.0	6.0	5.0	2.0	5.0	2.0	5.0	4.0	1.0	3.0	4.0	6.0	6.0	3.0	7.0	4.0	4.0	4.0	4.0	6.0	1.0
sub-1242	2.0	1.0	7.0	5.0	4.0	6.0	5.0	2.0	7.0	5.0	5.0	3.0	1.0	5.0	5.0	3.0	5.0	1.0	5.0	3.0	3.0	6.0	3.0	7.0	3.0	5.0	5.0	1.0	7.0	5.0
sub-1243	3.0	4.0	6.0	4.0	2.0	5.0	3.0	2.0	5.0	6.0	4.0	2.0	3.0	3.0	4.0	4.0	5.0	3.0	5.0	5.0	5.0	4.0	5.0	5.0	3.0	3.0	6.0	2.0	5.0	4.0
sub-1244	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-1245	5.0	4.0	7.0	3.0	3.0	5.0	3.0	3.0	5.0	6.0	3.0	2.0	1.0	5.0	6.0	2.0	4.0	3.0	6.0	6.0	6.0	3.0	2.0	5.0	4.0	4.0	5.0	3.0	7.0	6.0
sub-1247	7.0	1.0	5.0	7.0	6.0	7.0	2.0	1.0	6.0	1.0	7.0	2.0	1.0	5.0	2.0	1.0	6.0	5.0	4.0	6.0	7.0	6.0	5.0	5.0	1.0	1.0	3.0	1.0	7.0	1.0
sub-1248	5.0	5.0	3.0	3.0	3.0	5.0	3.0	6.0	6.0	6.0	3.0	6.0	3.0	2.0	5.0	6.0	2.0	6.0	5.0	5.0	5.0	4.0	3.0	5.0	4.0	4.0	5.0	6.0	4.0	7.0
sub-1249	2.0	5.0	6.0	3.0	2.0	5.0	3.0	5.0	5.0	2.0	3.0	2.0	2.0	4.0	5.0	5.0	5.0	2.0	6.0	6.0	3.0	5.0	3.0	5.0	3.0	5.0	5.0	2.0	5.0	5.0
sub-1251	6.0	2.0	7.0	1.0	2.0	6.0	1.0	1.0	6.0	3.0	5.0	1.0	2.0	2.0	6.0	6.0	6.0	2.0	6.0	6.0	4.0	1.0	4.0	5.0	3.0	4.0	6.0	1.0	7.0	5.0
sub-1253	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-1255	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-1276	2.0	6.0	4.0	6.0	2.0	2.0	2.0	5.0	5.0	4.0	3.0	2.0	3.0	6.0	3.0	4.0	1.0	6.0	2.0	6.0	5.0	6.0	4.0	5.0	2.0	3.0	4.0	4.0	2.0	2.0
sub-1282	7.0	2.0	7.0	3.0	2.0	5.0	6.0	5.0	5.0	6.0	6.0	4.0	2.0	3.0	5.0	1.0	5.0	2.0	3.0	5.0	5.0	7.0	7.0	5.0	2.0	3.0	5.0	1.0	6.0	1.0
sub-1286	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-1294	7.0	1.0	6.0	2.0	1.0	7.0	3.0	2.0	6.0	4.0	5.0	1.0	1.0	2.0	4.0	1.0	7.0	2.0	6.0	7.0	7.0	3.0	6.0	7.0	4.0	2.0	6.0	1.0	6.0	6.0
sub-1300	4.0	1.0	1.0	4.0	6.0	4.0	6.0	4.0	5.0	4.0	4.0	4.0	5.0	5.0	2.0	4.0	6.0	6.0	6.0	5.0	5.0	6.0	6.0	6.0	6.0	6.0	5.0	6.0	6.0	5.0
sub-1301	5.0	2.0	5.0	3.0	2.0	6.0	5.0	2.0	6.0	2.0	5.0	2.0	1.0	5.0	4.0	3.0	5.0	2.0	5.0	6.0	7.0	3.0	4.0	5.0	1.0	2.0	6.0	1.0	6.0	6.0
sub-1302	7.0	4.0	7.0	3.0	2.0	5.0	3.0	2.0	7.0	2.0	2.0	2.0	3.0	3.0	5.0	3.0	3.0	5.0	6.0	4.0	6.0	2.0	4.0	6.0	3.0	2.0	5.0	4.0	5.0	4.0
sub-1303	6.0	2.0	3.0	5.0	4.0	3.0	5.0	2.0	5.0	3.0	4.0	5.0	2.0	3.0	5.0	2.0	5.0	5.0	4.0	4.0	2.0	2.0	5.0	4.0	5.0	3.0	4.0	6.0	5.0	1.0
sub-3101	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-3116	4.0	2.0	7.0	3.0	1.0	7.0	4.0	3.0	7.0	5.0	4.0	1.0	1.0	4.0	6.0	5.0	6.0	1.0	4.0	7.0	5.0	4.0	5.0	7.0	6.0	4.0	6.0	2.0	4.0	3.0
sub-3122	1.0	1.0	5.0	3.0	3.0	6.0	3.0	7.0	7.0	2.0	5.0	5.0	1.0	1.0	6.0	6.0	6.0	1.0	7.0	5.0	5.0	5.0	6.0	6.0	7.0	2.0	2.0	6.0	6.0	5.0
sub-3125	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-3140	5.0	2.0	4.0	4.0	2.0	5.0	6.0	3.0	5.0	3.0	5.0	3.0	2.0	3.0	3.0	2.0	7.0	7.0	2.0	5.0	3.0	6.0	4.0	5.0	4.0	3.0	5.0	1.0	4.0	2.0
sub-3143	6.0	1.0	5.0	2.0	1.0	5.0	2.0	2.0	5.0	2.0	4.0	2.0	2.0	4.0	5.0	1.0	7.0	3.0	6.0	7.0	5.0	2.0	5.0	6.0	4.0	4.0	6.0	2.0	4.0	4.0
sub-3152	7.0	2.0	7.0	3.0	2.0	7.0	2.0	1.0	7.0	1.0	7.0	4.0	2.0	4.0	3.0	6.0	5.0	1.0	7.0	6.0	7.0	4.0	2.0	6.0	4.0	2.0	7.0	5.0	5.0	1.0
sub-3164	7.0	3.0	5.0	2.0	2.0	7.0	5.0	4.0	7.0	5.0	7.0	1.0	2.0	4.0	3.0	1.0	3.0	5.0	7.0	7.0	7.0	4.0	4.0	7.0	2.0	1.0	6.0	1.0	7.0	6.0
sub-3166	3.0	4.0	3.0	5.0	3.0	3.0	5.0	3.0	3.0	4.0	5.0	5.0	4.0	3.0	6.0	5.0	5.0	5.0	5.0	6.0	4.0	5.0	3.0	4.0	3.0	3.0	6.0	3.0	5.0	5.0
sub-3167	3.0	3.0	6.0	2.0	2.0	5.0	4.0	5.0	6.0	4.0	5.0	3.0	5.0	2.0	6.0	5.0	5.0	5.0	5.0	5.0	6.0	5.0	3.0	6.0	5.0	2.0	7.0	4.0	7.0	6.0
sub-3170	5.0	3.0	4.0	5.0	2.0	5.0	6.0	1.0	4.0	3.0	4.0	2.0	1.0	2.0	6.0	3.0	5.0	3.0	6.0	6.0	4.0	5.0	3.0	4.0	5.0	3.0	5.0	2.0	3.0	4.0
sub-3173	2.0	1.0	2.0	3.0	4.0	4.0	7.0	5.0	5.0	3.0	5.0	2.0	4.0	5.0	4.0	3.0	4.0	5.0	2.0	5.0	6.0	7.0	4.0	5.0	3.0	5.0	6.0	2.0	5.0	7.0
sub-3175	5.0	3.0	2.0	2.0	4.0	5.0	5.0	2.0	4.0	3.0	2.0	3.0	3.0	3.0	4.0	6.0	5.0	6.0	5.0	4.0	5.0	5.0	3.0	2.0	2.0	4.0	3.0	3.0	4.0	5.0
sub-3176	2.0	1.0	7.0	4.0	2.0	6.0	3.0	2.0	6.0	6.0	4.0	1.0	1.0	2.0	5.0	6.0	7.0	2.0	6.0	5.0	7.0	5.0	3.0	5.0	4.0	2.0	6.0	2.0	7.0	7.0
sub-3186	4.0	3.0	4.0	6.0	3.0	6.0	6.0	7.0	5.0	5.0	5.0	4.0	2.0	3.0	4.0	3.0	5.0	5.0	3.0	5.0	4.0	5.0	3.0	5.0	3.0	3.0	5.0	2.0	4.0	5.0
sub-3189	6.0	2.0	3.0	5.0	5.0	6.0	4.0	2.0	5.0	5.0	6.0	4.0	1.0	6.0	2.0	4.0	6.0	6.0	3.0	3.0	6.0	5.0	6.0	5.0	5.0	3.0	2.0	2.0	6.0	4.0
sub-3190	1.0	1.0	4.0	7.0	2.0	2.0	7.0	7.0	7.0	5.0	5.0	5.0	6.0	6.0	1.0	7.0	6.0	7.0	5.0	4.0	1.0	1.0	1.0	7.0	6.0	1.0	7.0	7.0	5.0	6.0
sub-3199	4.0	2.0	2.0	2.0	5.0	2.0	4.0	5.0	2.0	2.0	3.0	1.0	2.0	5.0	2.0	2.0	5.0	2.0	2.0	1.0	2.0	2.0	6.0	3.0	5.0	6.0	4.0	3.0	2.0	1.0
sub-3200	3.0	2.0	4.0	5.0	2.0	5.0	4.0	6.0	6.0	6.0	3.0	2.0	2.0	5.0	4.0	6.0	2.0	3.0	6.0	7.0	5.0	5.0	2.0	4.0	7.0	5.0	7.0	2.0	5.0	5.0
sub-3206	2.0	2.0	3.0	2.0	4.0	6.0	5.0	5.0	4.0	2.0	3.0	3.0	4.0	6.0	1.0	7.0	5.0	2.0	6.0	4.0	2.0	1.0	6.0	4.0	6.0	3.0	5.0	2.0	3.0	6.0
sub-3210	7.0	1.0	6.0	4.0	2.0	6.0	3.0	2.0	6.0	2.0	7.0	1.0	1.0	2.0	4.0	1.0	5.0	2.0	4.0	6.0	6.0	1.0	5.0	6.0	1.0	1.0	5.0	1.0	6.0	3.0
sub-3212	7.0	2.0	4.0	3.0	2.0	6.0	4.0	2.0	5.0	3.0	5.0	3.0	1.0	2.0	5.0	5.0	7.0	3.0	5.0	4.0	6.0	4.0	7.0	5.0	5.0	3.0	5.0	2.0	5.0	5.0
sub-3218	1.0	1.0	7.0	7.0	4.0	7.0	7.0	7.0	7.0	5.0	5.0	4.0	5.0	5.0	5.0	4.0	4.0	5.0	2.0	5.0	3.0	3.0	3.0	4.0	3.0	3.0	5.0	4.0	4.0	5.0
sub-3220	6.0	5.0	4.0	5.0	3.0	5.0	5.0	3.0	5.0	2.0	6.0	3.0	3.0	2.0	5.0	3.0	5.0	5.0	5.0	4.0	5.0	5.0	5.0	6.0	3.0	3.0	5.0	4.0	5.0	6.0
sub-3223	5.0	1.0	6.0	5.0	1.0	5.0	2.0	2.0	7.0	6.0	5.0	3.0	2.0	2.0	5.0	1.0	6.0	2.0	6.0	6.0	5.0	2.0	6.0	6.0	3.0	5.0	7.0	2.0	5.0	5.0
